connection_id,from_station_id,to_station_id,connection_type,travel_time_minutes,distance_meters,line_code
0103,DT11,DT12,train,2.13,1360,DT
0104,DT12,DT11,train,2.13,1360,DT
0105,DT12,DT13,train,1.07,471,DT
0106,DT13,DT12,train,1.07,471,DT
0107,DT13,DT14,train,1.15,541,DT
0108,DT14,DT13,train,1.15,541,DT
0109,DT14,DT15,train,1.54,868,DT
0110,DT15,DT14,train,1.54,868,DT
0111,DT15,DT16,train,2.01,1259,DT
0112,DT16,DT15,train,2.01,1259,DT
0113,DT16,DT17,train,1.46,801,DT
0114,DT17,DT16,train,1.46,801,DT
0115,DT17,DT18,train,1.23,606,DT
0116,DT18,DT17,train,1.23,606,DT
0117,DT18,DT19,train,1.24,617,DT
0118,DT19,DT18,train,1.24,617,DT
0119,DT19,DT20,train,1.48,820,DT
0120,DT20,DT19,train,1.48,820,DT
0121,DT20,DT21,train,1.7,997,DT
0122,DT21,DT20,train,1.7,997,DT
0123,DT21,DT22,train,1.56,881,DT
0124,DT22,DT21,train,1.56,881,DT
0125,DT22,DT23,train,2.04,1281,DT
0126,DT23,DT22,train,2.04,1281,DT
0127,DT23,DT24,train,2.1,1333,DT
0128,DT24,DT23,train,2.1,1333,DT
0129,DT24,DT25,train,2.13,1357,DT
0130,DT25,DT24,train,2.13,1357,DT
0131,DT25,DT26,train,1.45,794,DT
0132,DT26,DT25,train,1.45,794,DT
0133,DT26,DT27,train,1.8,1085,DT
0134,DT27,DT26,train,1.8,1085,DT
0135,DT27,DT28,train,1.92,1181,DT
0136,DT28,DT27,train,1.92,1181,DT
0137,DT28,DT29,train,1.76,1048,DT
0138,DT29,DT28,train,1.76,1048,DT
0139,DT29,DT30,train,2.36,1549,DT
0140,DT30,DT29,train,2.36,1549,DT
0141,DT30,DT31,train,2.02,1266,DT
0142,DT31,DT30,train,2.02,1266,DT
0143,DT31,DT32,train,1.86,1135,DT
0144,DT32,DT31,train,1.86,1135,DT
0145,DT32,DT33,train,1.87,1140,DT
0146,DT33,DT32,train,1.87,1140,DT
0147,DT33,DT34,train,2.6,1746,DT
0148,DT34,DT33,train,2.6,1746,DT
0149,DT34,DT35,train,1.32,681,DT
0150,DT35,DT34,train,1.32,681,DT
0151,EW1,EW2,train,3.18,2234,EW
0152,EW2,EW1,train,3.18,2234,EW
0153,EW2,EW3,train,2.25,1461,EW
0154,EW3,EW2,train,2.25,1461,EW
0155,EW3,EW4,train,2.81,1927,EW
0156,EW4,EW3,train,2.81,1927,EW
0157,EW4,EW5,train,2.75,1873,EW
0158,EW5,EW4,train,2.75,1873,EW
0159,EW5,EW6,train,2.83,1942,EW
0160,EW6,EW5,train,2.83,1942,EW
0161,EW6,EW7,train,1.81,1087,EW
0162,EW7,EW6,train,1.81,1087,EW
0163,EW7,EW8,train,1.95,1209,EW
0164,EW8,EW7,train,1.95,1209,EW
0165,EW8,EW9,train,1.81,1091,EW
0166,EW9,EW8,train,1.81,1091,EW
0167,EW9,EW10,train,2.14,1367,EW
0168,EW10,EW9,train,2.14,1367,EW
0169,EW10,EW11,train,1.73,1025,EW
0170,EW11,EW10,train,1.73,1025,EW
0171,EW11,EW12,train,1.81,1088,EW
0172,EW12,EW11,train,1.81,1088,EW
0173,EW12,EW13,train,1.63,941,EW
0174,EW13,EW12,train,1.63,941,EW
0175,EW13,EW14,train,1.68,979,EW
0176,EW14,EW13,train,1.68,979,EW
0177,EW14,EW15,train,1.78,1069,EW
0178,EW15,EW14,train,1.78,1069,EW
0179,EW15,EW16,train,1.43,776,EW
0180,EW16,EW15,train,1.43,776,EW
0181,EW16,EW17,train,2.33,1524,EW
0182,EW17,EW16,train,2.33,1524,EW
0183,EW17,EW18,train,2.03,1273,EW
0184,EW18,EW17,train,2.03,1273,EW
0185,EW18,EW19,train,2.07,1308,EW
0186,EW19,EW18,train,2.07,1308,EW
0187,EW19,EW20,train,1.98,1229,EW
0188,EW20,EW19,train,1.98,1229,EW
0189,EW20,EW21,train,1.7,1000,EW
0190,EW21,EW20,train,1.7,1000,EW
0191,EW21,EW22,train,2.2,1419,EW
0192,EW22,EW21,train,2.2,1419,EW
0193,EW22,EW23,train,2.35,1544,EW
0194,EW23,EW22,train,2.35,1544,EW
0195,EW23,EW24,train,4.39,3242,EW
0196,EW24,EW23,train,4.39,3242,EW
0197,EW24,EW25,train,2.3,1498,EW
0198,EW25,EW24,train,2.3,1498,EW
0199,EW25,EW26,train,2.09,1326,EW
0200,EW26,EW25,train,2.09,1326,EW
0201,EW26,EW27,train,2.65,1791,EW
0202,EW27,EW26,train,2.65,1791,EW
0203,EW27,EW28,train,1.63,941,EW
0204,EW28,EW27,train,1.63,941,EW
0205,EW28,EW29,train,3.36,2386,EW
0206,EW29,EW28,train,3.36,2386,EW
0207,EW29,EW30,train,3.13,2190,EW
0208,EW30,EW29,train,3.13,2190,EW
0209,EW30,EW31,train,1.96,1214,EW
0210,EW31,EW30,train,1.96,1214,EW
0211,EW31,EW32,train,2.21,1424,EW
0212,EW32,EW31,train,2.21,1424,EW
0213,EW32,EW33,train,2.02,1266,EW
0214,EW33,EW32,train,2.02,1266,EW
0215,NE3,NE4,train,1.27,638,NE
0216,NE4,NE3,train,1.27,638,NE
0217,NE4,NE5,train,1.15,543,NE
0218,NE5,NE4,train,1.15,543,NE
0219,NE5,NE6,train,1.83,1109,NE
0220,NE6,NE5,train,1.83,1109,NE
0221,NE6,NE7,train,1.69,987,NE
0222,NE7,NE6,train,1.69,987,NE
0223,NE7,NE8,train,1.56,885,NE
0224,NE8,NE7,train,1.56,885,NE
0225,NE8,NE9,train,1.85,1121,NE
0226,NE9,NE8,train,1.85,1121,NE
0227,NE9,NE10,train,2.33,1524,NE
0228,NE10,NE9,train,2.33,1524,NE
0229,NE10,NE11,train,1.58,902,NE
0230,NE11,NE10,train,1.58,902,NE
0231,NE11,NE12,train,1.97,1226,NE
0232,NE12,NE11,train,1.97,1226,NE
0233,NE12,NE13,train,2.51,1673,NE
0234,NE13,NE12,train,2.51,1673,NE
0235,NE13,NE14,train,2.41,1589,NE
0236,NE14,NE13,train,2.41,1589,NE
0237,NE14,NE15,train,1.99,1240,NE
0238,NE15,NE14,train,1.99,1240,NE
0239,NE15,NE16,train,1.64,953,NE
0240,NE16,NE15,train,1.64,953,NE
0241,NE16,NE17,train,2.58,1735,NE
0242,NE17,NE16,train,2.58,1735,NE
0243,NE17,NE18,train,2.18,1401,NE
0244,NE18,NE17,train,2.18,1401,NE
0245,NS1,NS2,train,2.84,1949,NS
0246,NS2,NS1,train,2.84,1949,NS
0247,NS2,NS3,train,1.85,1121,NS
0248,NS3,NS2,train,1.85,1121,NS
0249,NS3,NS4,train,4.08,2987,NS
0250,NS4,NS3,train,4.08,2987,NS
0251,NS4,NS5,train,2.24,1448,NS
0252,NS5,NS4,train,2.24,1448,NS
0253,NS7,NS8,train,2.4,1584,NS
0254,NS8,NS7,train,2.4,1584,NS
0255,NS8,NS9,train,2.41,1590,NS
0256,NS9,NS8,train,2.41,1590,NS
0257,NS9,NS10,train,2.32,1520,NS
0258,NS10,NS9,train,2.32,1520,NS
0259,NS10,NS11,train,3.29,2321,NS
0260,NS11,NS10,train,3.29,2321,NS
0261,NS11,NS12,train,1.97,1227,NS
0262,NS12,NS11,train,1.97,1227,NS
0263,NS12,NS13,train,2.51,1671,NS
0264,NS13,NS12,train,2.51,1671,NS
0265,NS13,NS14,train,2.13,1360,NS
0266,NS14,NS13,train,2.13,1360,NS
0267,NS14,NS15,train,5.5,4169,NS
0268,NS15,NS14,train,5.5,4169,NS
0269,NS15,NS16,train,2.18,1399,NS
0270,NS16,NS15,train,2.18,1399,NS
0271,NS16,NS17,train,2.99,2072,NS
0272,NS17,NS16,train,2.99,2072,NS
0273,NS17,NS18,train,1.96,1218,NS
0274,NS18,NS17,train,1.96,1218,NS
0275,NS18,NS19,train,1.61,925,NS
0276,NS19,NS18,train,1.61,925,NS
0277,NS19,NS20,train,2.21,1423,NS
0278,NS20,NS19,train,2.21,1423,NS
0279,NS20,NS21,train,1.63,944,NS
0280,NS21,NS20,train,1.63,944,NS
0281,NS21,NS22,train,2.09,1325,NS
0282,NS22,NS21,train,2.09,1325,NS
0283,NS22,NS23,train,1.45,793,NS
0284,NS23,NS22,train,1.45,793,NS
0285,NS23,NS24,train,1.39,744,NS
0286,NS24,NS23,train,1.39,744,NS
0287,NS24,NS25,train,1.67,978,NS
0288,NS25,NS24,train,1.67,978,NS
0289,NS25,NS26,train,1.68,979,NS
0290,NS26,NS25,train,1.68,979,NS
0291,NS26,NS27,train,1.81,1090,NS
0292,NS27,NS26,train,1.81,1090,NS
0293,NS27,NS28,train,1.66,964,NS
0294,NS28,NS27,train,1.66,964,NS
0295,PE1,PE2,train,1.25,435,PE
0296,PE2,PE1,train,1.25,435,PE
0297,PE2,PE3,train,1.43,542,PE
0298,PE3,PE2,train,1.43,542,PE
0299,PE3,PE4,train,1.18,396,PE
0300,PE4,PE3,train,1.18,396,PE
0301,PE4,PE5,train,1.46,559,PE
0302,PE5,PE4,train,1.46,559,PE
0303,PE5,PE6,train,1.38,515,PE
0304,PE6,PE5,train,1.38,515,PE
0305,PE6,PE7,train,1.47,565,PE
0306,PE7,PE6,train,1.47,565,PE
0307,PW1,PW2,train,1.19,401,PW
0308,PW2,PW1,train,1.19,401,PW
0309,PW2,PW3,train,1.29,460,PW
0310,PW3,PW2,train,1.29,460,PW
0311,PW3,PW4,train,1.37,506,PW
0312,PW4,PW3,train,1.37,506,PW
0313,PW4,PW5,train,1.37,506,PW
0314,PW5,PW4,train,1.37,506,PW
0315,PW5,PW6,train,1.21,416,PW
0316,PW6,PW5,train,1.21,416,PW
0317,PW6,PW7,train,1.15,377,PW
0318,PW7,PW6,train,1.15,377,PW
0319,SE1,SE2,train,1.7,697,SE
0320,SE2,SE1,train,1.7,697,SE
0321,SE2,SE3,train,1.17,390,SE
0322,SE3,SE2,train,1.17,390,SE
0323,SE3,SE4,train,1.5,582,SE
0324,SE4,SE3,train,1.5,582,SE
0325,SE4,SE5,train,1.43,539,SE
0326,SE5,SE4,train,1.43,539,SE
0327,SW1,SW2,train,1.38,514,SW
0328,SW2,SW1,train,1.38,514,SW
0329,SW2,SW3,train,2.02,887,SW
0330,SW3,SW2,train,2.02,887,SW
0331,SW3,SW4,train,1.58,628,SW
0332,SW4,SW3,train,1.58,628,SW
0333,SW4,SW5,train,1.56,617,SW
0334,SW5,SW4,train,1.56,617,SW
0335,SW5,SW6,train,1.22,420,SW
0336,SW6,SW5,train,1.22,420,SW
0337,SW6,SW7,train,1.71,703,SW
0338,SW7,SW6,train,1.71,703,SW
0339,SW7,SW8,train,1.53,602,SW
0340,SW8,SW7,train,1.53,602,SW
0341,TE1,TE2,train,2.03,1274,TE
0342,TE2,TE1,train,2.03,1274,TE
0343,TE2,TE3,train,2.13,1356,TE
0344,TE3,TE2,train,2.13,1356,TE
0345,TE3,TE4,train,5.53,4191,TE
0346,TE4,TE3,train,5.53,4191,TE
0347,TE4,TE5,train,3.54,2533,TE
0348,TE5,TE4,train,3.54,2533,TE
0349,TE5,TE6,train,2.18,1399,TE
0350,TE6,TE5,train,2.18,1399,TE
0351,TE6,TE7,train,1.78,1062,TE
0352,TE7,TE6,train,1.78,1062,TE
0353,TE7,TE8,train,1.7,996,TE
0354,TE8,TE7,train,1.7,996,TE
0355,TE8,TE9,train,2.94,2031,TE
0356,TE9,TE8,train,2.94,2031,TE
0357,TE11,TE12,train,2.45,1624,TE
0358,TE12,TE11,train,2.45,1624,TE
0359,TE12,TE13,train,1.41,762,TE
0360,TE13,TE12,train,1.41,762,TE
0361,TE13,TE14,train,1.57,890,TE
0362,TE14,TE13,train,1.57,890,TE
0363,TE14,TE15,train,1.66,970,TE
0364,TE15,TE14,train,1.66,970,TE
0365,TE15,TE16,train,1.45,793,TE
0366,TE16,TE15,train,1.45,793,TE
0367,TE16,TE17,train,1.76,1048,TE
0368,TE17,TE16,train,1.76,1048,TE
0369,TE17,TE18,train,1.0,418,TE
0370,TE18,TE17,train,1.0,418,TE
0371,TE18,TE19,train,1.46,801,TE
0372,TE19,TE18,train,1.46,801,TE
0373,TE19,TE20,train,1.15,543,TE
0374,TE20,TE19,train,1.15,543,TE
0375,TE22,TE23,train,2.98,2067,TE
0376,TE23,TE22,train,2.98,2067,TE
0377,TE23,TE24,train,2.2,1416,TE
0378,TE24,TE23,train,2.2,1416,TE
0379,TE24,TE25,train,2.01,1254,TE
0380,TE25,TE24,train,2.01,1254,TE
0381,TE25,TE26,train,1.61,922,TE
0382,TE26,TE25,train,1.61,922,TE
0383,TE26,TE27,train,1.95,1212,TE
0384,TE27,TE26,train,1.95,1212,TE
0385,TE27,TE28,train,2.54,1699,TE
0386,TE28,TE27,train,2.54,1699,TE
0387,TE28,TE29,train,2.19,1408,TE
0388,TE29,TE28,train,2.19,1408,TE
0389,DT21,CC2,walk_between_stations,2.0,219,
0390,CC2,DT21,walk_between_stations,2.0,219,
0391,DT21,EW12,walk_between_stations,10.0,663,
0392,EW12,DT21,walk_between_stations,10.0,663,
0393,DT21,DT14,walk_between_stations,10.0,663,
0394,DT14,DT21,walk_between_stations,10.0,663,
0395,DT21,NS25,walk_between_stations,9.0,648,
0396,NS25,DT21,walk_between_stations,9.0,648,
0397,DT21,EW13,walk_between_stations,9.0,648,
0398,EW13,DT21,walk_between_stations,9.0,648,
0399,DT21,NS24,walk_between_stations,7.0,594,
0400,NS24,DT21,walk_between_stations,7.0,594,
0401,DT21,NE6,walk_between_stations,7.0,594,
0402,NE6,DT21,walk_between_stations,7.0,594,
0403,DT21,CC1,walk_between_stations,7.0,594,
0404,CC1,DT21,walk_between_stations,7.0,594,
0405,DT21,DT13,walk_between_stations,10.0,619,
0406,DT13,DT21,walk_between_stations,10.0,619,
0407,DT23,NE9,walk_between_stations,9.0,714,
0408,NE9,DT23,walk_between_stations,9.0,714,
0409,CC2,EW12,walk_between_stations,10.0,737,
0410,EW12,CC2,walk_between_stations,10.0,737,
0411,CC2,DT14,walk_between_stations,10.0,737,
0412,DT14,CC2,walk_between_stations,10.0,737,
0413,CC2,NS25,walk_between_stations,6.0,433,
0414,NS25,CC2,walk_between_stations,6.0,433,
0415,CC2,EW13,walk_between_stations,6.0,433,
0416,EW13,CC2,walk_between_stations,6.0,433,
0417,EW12,DT22,walk_between_stations,8.0,519,
0418,DT22,EW12,walk_between_stations,8.0,519,
0419,DT14,DT22,walk_between_stations,8.0,519,
0420,DT22,DT14,walk_between_stations,8.0,519,
0421,NE4,TE18,walk_between_stations,6.0,482,
0422,TE18,NE4,walk_between_stations,6.0,482,
0423,DT19,TE18,walk_between_stations,6.0,482,
0424,TE18,DT19,walk_between_stations,6.0,482,
0425,NS25,CC3,walk_between_stations,4.0,460,
0426,CC3,NS25,walk_between_stations,4.0,460,
0427,EW13,CC3,walk_between_stations,4.0,460,
0428,CC3,EW13,walk_between_stations,4.0,460,
0429,NE5,DT20,walk_between_stations,9.0,484,
0430,DT20,NE5,walk_between_stations,9.0,484,
0431,NE5,NS26,walk_between_stations,9.0,721,
0432,NS26,NE5,walk_between_stations,9.0,721,
0433,NE5,EW14,walk_between_stations,9.0,721,
0434,EW14,NE5,walk_between_stations,9.0,721,
0435,NE5,DT18,walk_between_stations,10.0,790,
0436,DT18,NE5,walk_between_stations,10.0,790,
0437,DT17,NS27,walk_between_stations,4.0,473,
0438,NS27,DT17,walk_between_stations,4.0,473,
0439,DT17,CE2,walk_between_stations,4.0,473,
0440,CE2,DT17,walk_between_stations,4.0,473,
0441,DT17,TE20,walk_between_stations,4.0,473,
0442,TE20,DT17,walk_between_stations,4.0,473,
0443,DT17,NS26,walk_between_stations,5.0,616,
0444,NS26,DT17,walk_between_stations,5.0,616,
0445,DT17,EW14,walk_between_stations,5.0,616,
0446,EW14,DT17,walk_between_stations,5.0,616,
0447,DT17,TE19,walk_between_stations,3.0,354,
0448,TE19,DT17,walk_between_stations,3.0,354,
0449,TE16,EW17,walk_between_stations,10.0,691,
0450,EW17,TE16,walk_between_stations,10.0,691,
0451,DT22,NE7,walk_between_stations,9.0,678,
0452,NE7,DT22,walk_between_stations,9.0,678,
0453,DT22,DT12,walk_between_stations,9.0,678,
0454,DT12,DT22,walk_between_stations,9.0,678,
0455,DT22,DT13,walk_between_stations,4.0,316,
0456,DT13,DT22,walk_between_stations,4.0,316,
0457,TE18,EW15,walk_between_stations,7.0,502,
0458,EW15,TE18,walk_between_stations,7.0,502,
0459,TE18,DT18,walk_between_stations,8.0,550,
0460,DT18,TE18,walk_between_stations,8.0,550,
0461,NS26,TE19,walk_between_stations,8.0,757,
0462,TE19,NS26,walk_between_stations,8.0,757,
0463,EW14,TE19,walk_between_stations,8.0,757,
0464,TE19,EW14,walk_between_stations,8.0,757,
0465,NS26,DT18,walk_between_stations,4.0,395,
0466,DT18,NS26,walk_between_stations,4.0,395,
0467,EW14,DT18,walk_between_stations,4.0,395,
0468,DT18,EW14,walk_between_stations,4.0,395,
0469,TE19,DT18,walk_between_stations,8.0,535,
0470,DT18,TE19,walk_between_stations,8.0,535,
0471,EW15,DT18,walk_between_stations,7.0,694,
0472,DT18,EW15,walk_between_stations,7.0,694,
0473,BP1,NS4,walk_transfer,2.0,0,
0474,NS4,BP1,walk_transfer,2.0,0,
0475,BP6,DT1,walk_transfer,2.0,0,
0476,DT1,BP6,walk_transfer,2.0,0,
0477,CC1,NE6,walk_transfer,2.0,0,
0478,NE6,CC1,walk_transfer,2.0,0,
0479,CC1,NS24,walk_transfer,2.0,0,
0480,NS24,CC1,walk_transfer,2.0,0,
0481,NE6,NS24,walk_transfer,2.0,0,
0482,NS24,NE6,walk_transfer,2.0,0,
0483,CC10,DT26,walk_transfer,2.0,0,
0484,DT26,CC10,walk_transfer,2.0,0,
0485,CC13,NE12,walk_transfer,2.0,0,
0486,NE12,CC13,walk_transfer,2.0,0,
0487,CC15,NS17,walk_transfer,2.0,0,
0488,NS17,CC15,walk_transfer,2.0,0,
0489,CC17,TE9,walk_transfer,2.0,0,
0490,TE9,CC17,walk_transfer,2.0,0,
0491,CC19,DT9,walk_transfer,2.0,0,
0492,DT9,CC19,walk_transfer,2.0,0,
0493,CC22,EW21,walk_transfer,2.0,0,
0494,EW21,CC22,walk_transfer,2.0,0,
0495,CC29,NE1,walk_transfer,2.0,0,
0496,NE1,CC29,walk_transfer,2.0,0,
0497,CC4,DT15,walk_transfer,2.0,0,
0498,DT15,CC4,walk_transfer,2.0,0,
0499,CC9,EW8,walk_transfer,2.0,0,
0500,EW8,CC9,walk_transfer,2.0,0,
0501,CE1,DT16,walk_transfer,2.0,0,
0502,DT16,CE1,walk_transfer,2.0,0,
0503,CE2,NS27,walk_transfer,2.0,0,
0504,NS27,CE2,walk_transfer,2.0,0,
0505,CE2,TE20,walk_transfer,2.0,0,
0506,TE20,CE2,walk_transfer,2.0,0,
0507,NS27,TE20,walk_transfer,2.0,0,
0508,TE20,NS27,walk_transfer,2.0,0,
0509,CG,EW4,walk_transfer,2.0,0,
0510,EW4,CG,walk_transfer,2.0,0,
0511,CG1,DT35,walk_transfer,2.0,0,
0512,DT35,CG1,walk_transfer,2.0,0,
0513,DT10,TE11,walk_transfer,2.0,0,
0514,TE11,DT10,walk_transfer,2.0,0,
0515,DT11,NS21,walk_transfer,2.0,0,
0516,NS21,DT11,walk_transfer,2.0,0,
0517,DT12,NE7,walk_transfer,2.0,0,
0518,NE7,DT12,walk_transfer,2.0,0,
0519,DT14,EW12,walk_transfer,2.0,0,
0520,EW12,DT14,walk_transfer,2.0,0,
0521,DT19,NE4,walk_transfer,2.0,0,
0522,NE4,DT19,walk_transfer,2.0,0,
0523,DT32,EW2,walk_transfer,2.0,0,
0524,EW2,DT32,walk_transfer,2.0,0,
0525,EW13,NS25,walk_transfer,2.0,0,
0526,NS25,EW13,walk_transfer,2.0,0,
0527,EW14,NS26,walk_transfer,2.0,0,
0528,NS26,EW14,walk_transfer,2.0,0,
0529,EW16,NE3,walk_transfer,2.0,0,
0530,NE3,EW16,walk_transfer,2.0,0,
0531,EW16,TE17,walk_transfer,2.0,0,
0532,TE17,EW16,walk_transfer,2.0,0,
0533,NE3,TE17,walk_transfer,2.0,0,
0534,TE17,NE3,walk_transfer,2.0,0,
0535,EW24,NS1,walk_transfer,2.0,0,
0536,NS1,EW24,walk_transfer,2.0,0,
0537,NE16,STC,walk_transfer,2.0,0,
0538,STC,NE16,walk_transfer,2.0,0,
0539,NE17,PTC,walk_transfer,2.0,0,
0540,PTC,NE17,walk_transfer,2.0,0,
0541,NS22,TE14,walk_transfer,2.0,0,
0542,TE14,NS22,walk_transfer,2.0,0,
0543,NS9,TE2,walk_transfer,2.0,0,
0544,TE2,NS9,walk_transfer,2.0,0,
545,STC,SE1,train,1.65,672,SE
546,SE1,STC,train,1.65,672,SE
547,STC,SW1,train,1.5,580,SW
548,SW1,STC,train,1.5,580,SW
549,PTC,PE1,train,1.79,752,PE
550,PE1,PTC,train,1.79,752,PE
551,PTC,PW1,train,1.46,557,PW
552,PW1,PTC,train,1.46,557,PW
553,TE20,TE22,train,2.37,1560,TE
554,TE22,TE20,train,2.37,1560,TE
